YEAR,D4,D3,D2,D1,D0,NORMAL
1902,0.0002,0.1345,0.8539,0.9986,0.9986,1
1903,0,0,0,0.1621,0.9594,1
1904,0,0,0,0,0,1
1905,0,0.0144,0.5263,0.9986,0.9986,1
1906,0.1552,0.9207,0.9981,0.9986,0.9986,1
1907,0,0,0,0,0,1
1908,0,0.0002,0.0545,0.9903,0.9986,1
1909,0,0,0,0,0.0004,1
1910,0,0,0,0.4434,0.9922,1
1911,0,0,0,0,0,1
1912,0,0.0003,0.1414,0.9969,0.9986,1
1913,0,0,0,0,0.0227,1
1914,0,0,0,0.0089,0.6895,1
1915,0,0,0,0,0,1
1916,0,0,0.0075,0.9537,0.9986,1
1917,0,0,0,0,0,1
1918,0,0,0,0,0,1
1919,0.8719,0.9963,0.9986,0.9986,0.9986,1
1920,0,0,0,0,0,1
1921,0,0.0031,0.3157,0.9983,0.9986,1
1922,0,0,0,0,0.0048,1
1923,0,0,0,0,0,1
1924,0,0,0,0.2465,0.9774,1
1925,0,0,0,0,0,1
1926,0,0,0,0,0,1
1927,0,0,0,0,0,1
1928,0,0,0,0,0,1
1929,0,0,0,0,0,1
1930,0,0,0,0,0.0295,1
1931,0,0,0,0,0,1
1932,0,0,0,0,0,1
1933,0,0,0,0,0,1
1934,0,0,0,0,0,1
1935,0,0,0,0,0,1
1936,0,0,0,0,0.007,1
1937,0,0,0,0,0,1
1938,0,0,0,0,0,1
1939,0,0,0,0,0,1
1940,0,0,0,0,0.0238,1
1941,0,0,0,0,0,1
1942,0,0,0.0125,0.9693,0.9986,1
1943,0,0,0,0,0,1
1944,0,0,0,0,0,1
1945,0,0,0,0,0,1
1946,0,0,0,0,0,1
1947,0,0,0,0,0,1
1948,0,0,0,0,0,1
1949,0,0,0,0,0,1
1950,0,0,0,0,0,1
1951,0,0,0,0,0.0125,1
1952,0.0285,0.7525,0.9929,0.9986,0.9986,1
1953,0.0002,0.1826,0.8909,0.9986,0.9986,1
1954,0,0,0,0,0,1
1955,0,0,0,0,0,1
1956,0,0,0,0,0,1
1957,0,0,0,0,0,1
1958,0,0,0,0.4435,0.9922,1
1959,0,0,0,0,0,1
1960,0,0,0,0,0,1
1961,0,0,0,0,0,1
1962,0,0,0,0,0,1
1963,0,0,0,0,0.0082,1
1964,0,0,0,0,0.001,1
1965,0,0,0,0,0,1
1966,0.1972,0.9362,0.9982,0.9986,0.9986,1
1967,0,0,0,0.4461,0.9924,1
1968,0,0,0,0,0.0004,1
1969,0,0.0015,0.234,0.998,0.9986,1
1970,0,0,0,0,0,1
1971,0,0,0,0,0,1
1972,0,0,0,0,0,1
1973,0.8915,0.9966,0.9986,0.9986,0.9986,1
1974,0,0,0,0,0,1
1975,0,0.0001,0.0251,0.9818,0.9986,1
1976,0,0,0,0,0,1
1977,0,0,0,0,0,1
1978,0,0,0,0,0,1
1979,0,0,0,0,0,1
1980,0,0.0099,0.4534,0.9986,0.9986,1
1981,0,0,0,0,0,1
1982,0,0,0,0,0,1
1983,0,0,0.0063,0.9485,0.9986,1
1984,0,0,0,0,0,1
1985,0,0,0,0,0.003,1
1986,0,0,0,0,0,1
1987,0,0,0,0.2048,0.9694,1
1988,0,0,0,0.0047,0.5883,1
1989,0,0,0,0,0,1
1990,0,0,0,0,0,1
1991,0,0,0,0,0,1
1992,0,0,0.0002,0.7298,0.9979,1
1993,0,0,0,0.0535,0.8838,1
1994,0,0,0,0,0,1
1995,0,0,0,0,0,1
1996,0,0,0,0,0,1
1997,0,0,0,0,0,1
1998,0,0,0,0,0,1
1999,0,0,0,0,0,1
2000,0,0,0,0,0,1
2001,0,0,0,0.4486,0.9926,1
2002,0,0,0.0002,0.6185,0.9965,1
2003,0.9528,0.9975,0.9986,0.9986,0.9986,1
2004,0,0,0,0,0,1
